"ANNEE";"SEXE";"AGE";"POP"
"2023";"M";"13";437469
"2023";"M";"14";442712
"2023";"M";"15";438490
"2023";"M";"16";444959
"2023";"M";"17";434639
"2023";"M";"18";426659
"2023";"M";"19";416660
"2023";"M";"20";410768
"2023";"M";"21";410546
"2023";"M";"22";411416
"2023";"M";"23";381902
"2023";"M";"24";374476
"2023";"M";"25";362104
"2023";"M";"26";364112
"2023";"M";"27";362550
"2023";"M";"28";354432
"2023";"M";"29";358042
"2023";"M";"30";375938
"2023";"M";"31";384975
"2023";"M";"32";394507
"2023";"M";"33";393638
"2023";"M";"34";399719
"2023";"M";"35";399940
"2023";"M";"36";406386
"2023";"M";"37";406424
"2023";"M";"38";403756
"2023";"M";"39";397827
"2023";"M";"40";422215
"2023";"M";"41";426247
"2023";"M";"42";429231
"2023";"M";"43";406365
"2023";"M";"44";399038
"2023";"M";"45";401210
"2023";"M";"46";389936
"2023";"M";"47";404144
"2023";"M";"48";423633
"2023";"M";"49";443325
"2023";"M";"50";454604
"2023";"M";"51";452455
"2023";"M";"52";440489
"2023";"M";"53";432841
"2023";"M";"54";425085
"2023";"M";"55";423527
"2023";"M";"56";432030
"2023";"M";"57";431831
"2023";"M";"58";433123
"2023";"M";"59";424560
"2023";"M";"60";408810
"2023";"M";"61";406906
"2023";"M";"62";400103
"2023";"M";"63";395094
"2023";"M";"64";382545
"2023";"M";"65";378090
"2023";"M";"66";370314
"2023";"M";"67";362675
"2023";"M";"68";359090
"2023";"M";"69";348988
"2023";"M";"70";349988
"2023";"M";"71";338030
"2023";"M";"72";346384
"2023";"M";"73";334927
"2023";"M";"74";329948
"2023";"M";"75";318393
"2023";"M";"76";293836
"2023";"M";"77";214933
"2023";"M";"78";205896
"2023";"M";"79";194787
"2023";"M";"80";174688
"2023";"M";"81";149481
"2023";"M";"82";148721
"2023";"M";"83";146742
"2023";"M";"84";135353
"2023";"M";"85";123362
"2023";"M";"86";113114
"2023";"M";"87";97712
"2023";"M";"88";88429
"2023";"M";"89";73965
"2023";"M";"90";64401
"2023";"M";"91";52189
"2023";"M";"92";42005
"2023";"M";"93";30522
"2023";"M";"94";23417
"2023";"M";"95";17084
"2023";"M";"96";12064
"2023";"M";"97";8477
"2023";"M";"98";5600
"2023";"M";"99";8929
"2023";"F";"0";333074
"2023";"F";"1";334714
"2023";"F";"2";343418
"2023";"F";"3";355230
"2023";"F";"4";360209
"2023";"F";"5";370583
"2023";"F";"6";379371
"2023";"F";"7";388628
"2023";"F";"8";402390
"2023";"F";"9";403459
"2023";"F";"10";409999
"2023";"F";"11";414326
"2023";"F";"12";424211
"2023";"F";"13";417870
"2023";"F";"14";420660
"2023";"F";"15";417184
"2023";"F";"16";423260
"2023";"F";"17";410168
"2023";"F";"18";402293
"2023";"F";"19";395158
"2023";"F";"20";390183
"2023";"F";"21";389855
"2023";"F";"22";392268
"2023";"F";"23";370288
"2023";"F";"24";369619
"2023";"F";"25";360737
"2023";"F";"26";368438
"2023";"F";"27";369614
"2023";"F";"28";366504
"2023";"F";"29";370826
"2023";"F";"30";391907
"2023";"F";"31";400616
"2023";"F";"32";411763
"2023";"F";"33";418800
"2023";"F";"34";424931
